Common Question Text (group),Common Question ID,Year ID,RowHeaderID,Network or School,Group By,Color Coding,Color Coding (group),Response Text,% of Total Count of Respondents,Count of Respondents,Show N's,% of Total Distinct count of Respondent ID
"During the past 12 months, about how many times did you skip school or cut classes?",174,2017-18,A21,Sojourner Truth Independent Study,All Students,760B,760B,1–2 times,8.181818182%,9,9,8.181818182%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2017-18,A21,Sojourner Truth Independent Study,All Students,750C,750C,A few times,5.454545455%,6,6,5.454545455%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2017-18,A21,Sojourner Truth Independent Study,All Students,730E,730E,Twice a month,0.909090909%,1,1,0.909090909%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2017-18,A21,Sojourner Truth Independent Study,All Students,720F,720F,Once a week,1.818181818%,2,2,1.818181818%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2017-18,A21,Sojourner Truth Independent Study,All Students,710G,710G,More than once a week,8.181818182%,9,9,8.181818182%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2017-18,A21,Sojourner Truth Independent Study,All Students,,,Did not answer,3.636363636%,4,4,3.636363636%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2017-18,A21,Street Academy,All Students,771A,771A,0 times,64%,64,64,64%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2017-18,A21,Street Academy,All Students,760B,760B,1–2 times,13%,13,13,13%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2017-18,A21,Street Academy,All Students,750C,750C,A few times,13%,13,13,13%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2017-18,A21,Street Academy,All Students,740D,740D,Once a month,1%,1,1,1%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2017-18,A21,Street Academy,All Students,730E,730E,Twice a month,1%,1,1,1%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2017-18,A21,Street Academy,All Students,710G,710G,More than once a week,5%,5,5,5%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2017-18,A21,Street Academy,All Students,,,Did not answer,3%,3,3,3%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2019-20,A23,Bret Harte Middle School,All Students,771A,771A,0 times,22.151898734%,35,35,22.151898734%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2019-20,A23,Bret Harte Middle School,All Students,760B,760B,1–2 times,29.746835443%,47,47,29.746835443%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2019-20,A23,Bret Harte Middle School,All Students,750C,750C,A few times,19.620253165%,31,31,19.620253165%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2019-20,A23,Bret Harte Middle School,All Students,740D,740D,Once a month,6.962025316%,11,11,6.962025316%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2019-20,A23,Bret Harte Middle School,All Students,730E,730E,Twice a month,3.164556962%,5,5,3.164556962%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2019-20,A23,Bret Harte Middle School,All Students,720F,720F,Once a week,3.164556962%,5,5,3.164556962%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2019-20,A23,Bret Harte Middle School,All Students,710G,710G,More than once a week,9.493670886%,15,15,9.493670886%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2019-20,A23,Bret Harte Middle School,All Students,,,Did not answer,5.696202532%,9,9,5.696202532%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2019-20,A23,Castlemont High School,All Students,771A,771A,0 times,28.192771084%,117,117,28.192771084%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2019-20,A23,Castlemont High School,All Students,760B,760B,1–2 times,20.722891566%,86,86,20.722891566%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2019-20,A23,Castlemont High School,All Students,750C,750C,A few times,20%,83,83,20%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2019-20,A23,Castlemont High School,All Students,740D,740D,Once a month,2.650602410%,11,11,2.650602410%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2019-20,A23,Castlemont High School,All Students,730E,730E,Twice a month,3.373493976%,14,14,3.373493976%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2019-20,A23,Castlemont High School,All Students,720F,720F,Once a week,5.301204819%,22,22,5.301204819%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2019-20,A23,Castlemont High School,All Students,710G,710G,More than once a week,13.012048193%,54,54,13.012048193%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2019-20,A23,Castlemont High School,All Students,,,Did not answer,6.746987952%,28,28,6.746987952%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2019-20,A23,Coliseum College Prep Academy,All Students,771A,771A,0 times,77.489177489%,179,179,77.489177489%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2019-20,A23,Coliseum College Prep Academy,All Students,760B,760B,1–2 times,12.554112554%,29,29,12.554112554%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2019-20,A23,Coliseum College Prep Academy,All Students,750C,750C,A few times,4.761904762%,11,11,4.761904762%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2019-20,A23,Coliseum College Prep Academy,All Students,740D,740D,Once a month,0.865800866%,2,2,0.865800866%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2019-20,A23,Coliseum College Prep Academy,All Students,730E,730E,Twice a month,0.432900433%,1,1,0.432900433%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2019-20,A23,Coliseum College Prep Academy,All Students,720F,720F,Once a week,0.865800866%,2,2,0.865800866%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2019-20,A23,Coliseum College Prep Academy,All Students,710G,710G,More than once a week,2.164502165%,5,5,2.164502165%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2019-20,A23,Coliseum College Prep Academy,All Students,,,Did not answer,0.865800866%,2,2,0.865800866%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2019-20,A23,Community Day,All Students,771A,771A,0 times,59.090909091%,13,13,59.090909091%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2019-20,A23,Community Day,All Students,760B,760B,1–2 times,13.636363636%,3,3,13.636363636%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2019-20,A23,Community Day,All Students,750C,750C,A few times,18.181818182%,4,4,18.181818182%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2019-20,A23,Community Day,All Students,710G,710G,More than once a week,4.545454545%,1,1,4.545454545%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2019-20,A23,Community Day,All Students,,,Did not answer,4.545454545%,1,1,4.545454545%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2019-20,A23,Dewey Academy,All Students,771A,771A,0 times,42.241379310%,49,49,42.241379310%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2019-20,A23,Dewey Academy,All Students,760B,760B,1–2 times,6.896551724%,8,8,6.896551724%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2019-20,A23,Dewey Academy,All Students,750C,750C,A few times,16.379310345%,19,19,16.379310345%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2019-20,A23,Dewey Academy,All Students,740D,740D,Once a month,0.862068966%,1,1,0.862068966%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2019-20,A23,Dewey Academy,All Students,730E,730E,Twice a month,4.310344828%,5,5,4.310344828%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2019-20,A23,Dewey Academy,All Students,720F,720F,Once a week,3.448275862%,4,4,3.448275862%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2019-20,A23,Dewey Academy,All Students,710G,710G,More than once a week,22.413793103%,26,26,22.413793103%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2019-20,A23,Dewey Academy,All Students,,,Did not answer,3.448275862%,4,4,3.448275862%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2019-20,A23,Fremont High School,All Students,771A,771A,0 times,41.021416804%,249,249,41.021416804%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2019-20,A23,Fremont High School,All Students,760B,760B,1–2 times,21.416803954%,130,130,21.416803954%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2019-20,A23,Fremont High School,All Students,750C,750C,A few times,15.156507414%,92,92,15.156507414%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2019-20,A23,Fremont High School,All Students,740D,740D,Once a month,3.459637562%,21,21,3.459637562%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2019-20,A23,Fremont High School,All Students,730E,730E,Twice a month,2.141680395%,13,13,2.141680395%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2019-20,A23,Fremont High School,All Students,720F,720F,Once a week,4.448105437%,27,27,4.448105437%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2019-20,A23,Fremont High School,All Students,710G,710G,More than once a week,7.413509061%,45,45,7.413509061%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2019-20,A23,Fremont High School,All Students,,,Did not answer,4.942339374%,30,30,4.942339374%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2019-20,A23,Life Academy,All Students,771A,771A,0 times,68.279569892%,127,127,68.279569892%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2019-20,A23,Life Academy,All Students,760B,760B,1–2 times,10.215053763%,19,19,10.215053763%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2019-20,A23,Life Academy,All Students,750C,750C,A few times,10.215053763%,19,19,10.215053763%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2019-20,A23,Life Academy,All Students,740D,740D,Once a month,1.612903226%,3,3,1.612903226%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2019-20,A23,Life Academy,All Students,730E,730E,Twice a month,1.612903226%,3,3,1.612903226%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2019-20,A23,Life Academy,All Students,720F,720F,Once a week,1.612903226%,3,3,1.612903226%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2019-20,A23,Life Academy,All Students,710G,710G,More than once a week,5.376344086%,10,10,5.376344086%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2019-20,A23,Life Academy,All Students,,,Did not answer,1.075268817%,2,2,1.075268817%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2019-20,A23,Madison Park Academy 6-12,All Students,771A,771A,0 times,51.851851852%,112,112,51.851851852%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2019-20,A23,Madison Park Academy 6-12,All Students,760B,760B,1–2 times,13.888888889%,30,30,13.888888889%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2019-20,A23,Madison Park Academy 6-12,All Students,750C,750C,A few times,15.277777778%,33,33,15.277777778%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2019-20,A23,Madison Park Academy 6-12,All Students,740D,740D,Once a month,0.462962963%,1,1,0.462962963%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2019-20,A23,Madison Park Academy 6-12,All Students,730E,730E,Twice a month,0.925925926%,2,2,0.925925926%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2019-20,A23,Madison Park Academy 6-12,All Students,720F,720F,Once a week,1.851851852%,4,4,1.851851852%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2019-20,A23,Madison Park Academy 6-12,All Students,710G,710G,More than once a week,10.185185185%,22,22,10.185185185%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2019-20,A23,Madison Park Academy 6-12,All Students,,,Did not answer,5.555555556%,12,12,5.555555556%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2019-20,A23,MetWest High School,All Students,771A,771A,0 times,62.176165803%,120,120,62.176165803%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2019-20,A23,MetWest High School,All Students,760B,760B,1–2 times,15.544041451%,30,30,15.544041451%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2019-20,A23,MetWest High School,All Students,750C,750C,A few times,10.362694301%,20,20,10.362694301%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2019-20,A23,MetWest High School,All Students,740D,740D,Once a month,1.554404145%,3,3,1.554404145%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2019-20,A23,MetWest High School,All Students,730E,730E,Twice a month,0.518134715%,1,1,0.518134715%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2019-20,A23,MetWest High School,All Students,720F,720F,Once a week,2.072538860%,4,4,2.072538860%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2019-20,A23,MetWest High School,All Students,710G,710G,More than once a week,4.663212435%,9,9,4.663212435%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2019-20,A23,MetWest High School,All Students,,,Did not answer,3.108808290%,6,6,3.108808290%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2019-20,A23,Oakland High School,All Students,771A,771A,0 times,39.840637450%,100,100,39.840637450%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2019-20,A23,Oakland High School,All Students,760B,760B,1–2 times,19.123505976%,48,48,19.123505976%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2019-20,A23,Oakland High School,All Students,750C,750C,A few times,20.717131474%,52,52,20.717131474%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2019-20,A23,Oakland High School,All Students,740D,740D,Once a month,2.390438247%,6,6,2.390438247%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2019-20,A23,Oakland High School,All Students,730E,730E,Twice a month,2.788844622%,7,7,2.788844622%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2019-20,A23,Oakland High School,All Students,720F,720F,Once a week,3.585657371%,9,9,3.585657371%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2019-20,A23,Oakland High School,All Students,710G,710G,More than once a week,5.179282869%,13,13,5.179282869%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2019-20,A23,Oakland High School,All Students,,,Did not answer,6.374501992%,16,16,6.374501992%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2019-20,A23,Oakland International HS,All Students,771A,771A,0 times,27.683615819%,49,49,27.683615819%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2019-20,A23,Oakland International HS,All Students,760B,760B,1–2 times,22.598870056%,40,40,22.598870056%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2019-20,A23,Oakland International HS,All Students,750C,750C,A few times,23.163841808%,41,41,23.163841808%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2019-20,A23,Oakland International HS,All Students,740D,740D,Once a month,2.824858757%,5,5,2.824858757%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2019-20,A23,Oakland International HS,All Students,730E,730E,Twice a month,2.824858757%,5,5,2.824858757%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2019-20,A23,Oakland International HS,All Students,720F,720F,Once a week,1.129943503%,2,2,1.129943503%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2019-20,A23,Oakland International HS,All Students,710G,710G,More than once a week,9.039548023%,16,16,9.039548023%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2019-20,A23,Oakland International HS,All Students,,,Did not answer,10.734463277%,19,19,10.734463277%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2019-20,A23,Oakland Technical High School,All Students,771A,771A,0 times,45.304347826%,521,521,45.304347826%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2019-20,A23,Oakland Technical High School,All Students,760B,760B,1–2 times,16%,184,184,16%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2019-20,A23,Oakland Technical High School,All Students,750C,750C,A few times,14.782608696%,170,170,14.782608696%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2019-20,A23,Oakland Technical High School,All Students,740D,740D,Once a month,2.434782609%,28,28,2.434782609%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2019-20,A23,Oakland Technical High School,All Students,730E,730E,Twice a month,3.739130435%,43,43,3.739130435%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2019-20,A23,Oakland Technical High School,All Students,720F,720F,Once a week,3.217391304%,37,37,3.217391304%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2019-20,A23,Oakland Technical High School,All Students,710G,710G,More than once a week,8.173913043%,94,94,8.173913043%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2019-20,A23,Oakland Technical High School,All Students,,,Did not answer,6.347826087%,73,73,6.347826087%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2019-20,A23,Ralph J Bunche High School,All Students,771A,771A,0 times,25.806451613%,8,8,25.806451613%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2019-20,A23,Ralph J Bunche High School,All Students,760B,760B,1–2 times,19.354838710%,6,6,19.354838710%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2019-20,A23,Ralph J Bunche High School,All Students,750C,750C,A few times,19.354838710%,6,6,19.354838710%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2019-20,A23,Ralph J Bunche High School,All Students,740D,740D,Once a month,3.225806452%,1,1,3.225806452%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2019-20,A23,Ralph J Bunche High School,All Students,710G,710G,More than once a week,19.354838710%,6,6,19.354838710%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2019-20,A23,Ralph J Bunche High School,All Students,,,Did not answer,12.903225806%,4,4,12.903225806%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2019-20,A23,Rudsdale (Newcomer),All Students,771A,771A,0 times,8.888888889%,4,4,8.888888889%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2019-20,A23,Rudsdale (Newcomer),All Students,760B,760B,1–2 times,31.111111111%,14,14,31.111111111%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2019-20,A23,Rudsdale (Newcomer),All Students,750C,750C,A few times,31.111111111%,14,14,31.111111111%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2019-20,A23,Rudsdale (Newcomer),All Students,740D,740D,Once a month,4.444444444%,2,2,4.444444444%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2019-20,A23,Rudsdale (Newcomer),All Students,730E,730E,Twice a month,8.888888889%,4,4,8.888888889%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2019-20,A23,Rudsdale (Newcomer),All Students,720F,720F,Once a week,2.222222222%,1,1,2.222222222%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2019-20,A23,Rudsdale (Newcomer),All Students,710G,710G,More than once a week,13.333333333%,6,6,13.333333333%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2019-20,A23,Rudsdale Continuation,All Students,771A,771A,0 times,34.210526316%,26,26,34.210526316%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2019-20,A23,Rudsdale Continuation,All Students,760B,760B,1–2 times,11.842105263%,9,9,11.842105263%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2019-20,A23,Rudsdale Continuation,All Students,750C,750C,A few times,23.684210526%,18,18,23.684210526%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2019-20,A23,Rudsdale Continuation,All Students,730E,730E,Twice a month,3.947368421%,3,3,3.947368421%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2019-20,A23,Rudsdale Continuation,All Students,720F,720F,Once a week,3.947368421%,3,3,3.947368421%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2019-20,A23,Rudsdale Continuation,All Students,710G,710G,More than once a week,17.105263158%,13,13,17.105263158%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2019-20,A23,Rudsdale Continuation,All Students,,,Did not answer,5.263157895%,4,4,5.263157895%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2019-20,A23,Skyline High School,All Students,771A,771A,0 times,47.594501718%,554,554,47.594501718%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2019-20,A23,Skyline High School,All Students,760B,760B,1–2 times,14.347079038%,167,167,14.347079038%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2019-20,A23,Skyline High School,All Students,750C,750C,A few times,15.206185567%,177,177,15.206185567%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2019-20,A23,Skyline High School,All Students,740D,740D,Once a month,1.804123711%,21,21,1.804123711%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2019-20,A23,Skyline High School,All Students,730E,730E,Twice a month,2.491408935%,29,29,2.491408935%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2019-20,A23,Skyline High School,All Students,720F,720F,Once a week,2.663230241%,31,31,2.663230241%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2019-20,A23,Skyline High School,All Students,710G,710G,More than once a week,10.051546392%,117,117,10.051546392%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2019-20,A23,Skyline High School,All Students,,,Did not answer,5.841924399%,68,68,5.841924399%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2019-20,A23,Sojourner Truth Independent Study,All Students,771A,771A,0 times,66.037735849%,70,70,66.037735849%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2019-20,A23,Sojourner Truth Independent Study,All Students,760B,760B,1–2 times,7.547169811%,8,8,7.547169811%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2019-20,A23,Sojourner Truth Independent Study,All Students,750C,750C,A few times,8.490566038%,9,9,8.490566038%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2019-20,A23,Sojourner Truth Independent Study,All Students,730E,730E,Twice a month,0.943396226%,1,1,0.943396226%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2019-20,A23,Sojourner Truth Independent Study,All Students,720F,720F,Once a week,1.886792453%,2,2,1.886792453%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2019-20,A23,Sojourner Truth Independent Study,All Students,710G,710G,More than once a week,10.377358491%,11,11,10.377358491%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2019-20,A23,Sojourner Truth Independent Study,All Students,,,Did not answer,4.716981132%,5,5,4.716981132%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2019-20,A23,Street Academy,All Students,771A,771A,0 times,41.176470588%,21,21,41.176470588%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2019-20,A23,Street Academy,All Students,760B,760B,1–2 times,15.686274510%,8,8,15.686274510%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2019-20,A23,Street Academy,All Students,750C,750C,A few times,19.607843137%,10,10,19.607843137%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2019-20,A23,Street Academy,All Students,730E,730E,Twice a month,1.960784314%,1,1,1.960784314%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2019-20,A23,Street Academy,All Students,720F,720F,Once a week,3.921568627%,2,2,3.921568627%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2019-20,A23,Street Academy,All Students,710G,710G,More than once a week,9.803921569%,5,5,9.803921569%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2019-20,A23,Street Academy,All Students,,,Did not answer,7.843137255%,4,4,7.843137255%
"During the past 12 months, did you ever feel so sad or hopeless almost everyday for two weeks or more that you stopped doing some usual activities?",125,2015-16,A115_A106,Castlemont High School,All Students,221A,221A,No,80.952380952%,34,34,80.952380952%
"During the past 12 months, did you ever feel so sad or hopeless almost everyday for two weeks or more that you stopped doing some usual activities?",125,2015-16,A115_A106,Castlemont High School,All Students,210B,210B,Yes,16.666666667%,7,7,16.666666667%
"During the past 12 months, did you ever feel so sad or hopeless almost everyday for two weeks or more that you stopped doing some usual activities?",125,2015-16,A115_A106,Castlemont High School,All Students,,,Did not answer,2.380952381%,1,1,2.380952381%
"During the past 12 months, did you ever feel so sad or hopeless almost everyday for two weeks or more that you stopped doing some usual activities?",125,2015-16,A115_A106,Coliseum College Prep Academy,All Students,221A,221A,No,67.114093960%,300,300,67.114093960%
"During the past 12 months, did you ever feel so sad or hopeless almost everyday for two weeks or more that you stopped doing some usual activities?",125,2015-16,A115_A106,Coliseum College Prep Academy,All Students,210B,210B,Yes,27.516778523%,123,123,27.516778523%
"During the past 12 months, did you ever feel so sad or hopeless almost everyday for two weeks or more that you stopped doing some usual activities?",125,2015-16,A115_A106,Coliseum College Prep Academy,All Students,,,Did not answer,5.369127517%,24,24,5.369127517%
"During the past 12 months, did you ever feel so sad or hopeless almost everyday for two weeks or more that you stopped doing some usual activities?",125,2015-16,A115_A106,Community Day,All Students,221A,221A,No,75%,18,18,75%
"During the past 12 months, did you ever feel so sad or hopeless almost everyday for two weeks or more that you stopped doing some usual activities?",125,2015-16,A115_A106,Community Day,All Students,210B,210B,Yes,20.833333333%,5,5,20.833333333%
"During the past 12 months, did you ever feel so sad or hopeless almost everyday for two weeks or more that you stopped doing some usual activities?",125,2015-16,A115_A106,Community Day,All Students,,,Did not answer,4.166666667%,1,1,4.166666667%
"During the past 12 months, did you ever feel so sad or hopeless almost everyday for two weeks or more that you stopped doing some usual activities?",125,2015-16,A115_A106,Dewey Academy,All Students,221A,221A,No,69.189189189%,128,128,69.189189189%
"During the past 12 months, did you ever feel so sad or hopeless almost everyday for two weeks or more that you stopped doing some usual activities?",125,2015-16,A115_A106,Dewey Academy,All Students,210B,210B,Yes,23.783783784%,44,44,23.783783784%
"During the past 12 months, did you ever feel so sad or hopeless almost everyday for two weeks or more that you stopped doing some usual activities?",125,2015-16,A115_A106,Dewey Academy,All Students,,,Did not answer,7.027027027%,13,13,7.027027027%
"During the past 12 months, did you ever feel so sad or hopeless almost everyday for two weeks or more that you stopped doing some usual activities?",125,2015-16,A115_A106,Fremont High School,All Students,221A,221A,No,64.208242950%,296,296,64.208242950%
"During the past 12 months, did you ever feel so sad or hopeless almost everyday for two weeks or more that you stopped doing some usual activities?",125,2015-16,A115_A106,Fremont High School,All Students,210B,210B,Yes,26.464208243%,122,122,26.464208243%
"During the past 12 months, did you ever feel so sad or hopeless almost everyday for two weeks or more that you stopped doing some usual activities?",125,2015-16,A115_A106,Fremont High School,All Students,,,Did not answer,9.327548807%,43,43,9.327548807%
"During the past 12 months, did you ever feel so sad or hopeless almost everyday for two weeks or more that you stopped doing some usual activities?",125,2015-16,A115_A106,Gateway to College,All Students,221A,221A,No,61.904761905%,13,13,61.904761905%
"During the past 12 months, did you ever feel so sad or hopeless almost everyday for two weeks or more that you stopped doing some usual activities?",125,2015-16,A115_A106,Gateway to College,All Students,210B,210B,Yes,28.571428571%,6,6,28.571428571%
"During the past 12 months, did you ever feel so sad or hopeless almost everyday for two weeks or more that you stopped doing some usual activities?",125,2015-16,A115_A106,Gateway to College,All Students,,,Did not answer,9.523809524%,2,2,9.523809524%
"During the past 12 months, did you ever feel so sad or hopeless almost everyday for two weeks or more that you stopped doing some usual activities?",125,2015-16,A115_A106,Life Academy,All Students,221A,221A,No,66.489361702%,250,250,66.489361702%
"During the past 12 months, did you ever feel so sad or hopeless almost everyday for two weeks or more that you stopped doing some usual activities?",125,2015-16,A115_A106,Life Academy,All Students,210B,210B,Yes,27.393617021%,103,103,27.393617021%
"During the past 12 months, did you ever feel so sad or hopeless almost everyday for two weeks or more that you stopped doing some usual activities?",125,2015-16,A115_A106,Life Academy,All Students,,,Did not answer,6.117021277%,23,23,6.117021277%
"During the past 12 months, did you ever feel so sad or hopeless almost everyday for two weeks or more that you stopped doing some usual activities?",125,2015-16,A115_A106,Madison Park Academy 6-12,All Students,221A,221A,No,66.210045662%,290,290,66.210045662%
"During the past 12 months, did you ever feel so sad or hopeless almost everyday for two weeks or more that you stopped doing some usual activities?",125,2015-16,A115_A106,Madison Park Academy 6-12,All Students,210B,210B,Yes,20.091324201%,88,88,20.091324201%
"During the past 12 months, did you ever feel so sad or hopeless almost everyday for two weeks or more that you stopped doing some usual activities?",125,2015-16,A115_A106,Madison Park Academy 6-12,All Students,,,Did not answer,13.698630137%,60,60,13.698630137%
"During the past 12 months, did you ever feel so sad or hopeless almost everyday for two weeks or more that you stopped doing some usual activities?",125,2015-16,A115_A106,McClymonds HS,All Students,221A,221A,No,70%,147,147,70%
